job_id,title,company,location,salary,posted_date,job_url,scrape_date,recommend,apply_date
4460487954,AI Solution Architect,eir business talent,Dublin (Hybrid),,Posted 10 hours ago,https://www.linkedin.com/jobs/view/4460487954/,20260903,,
4446306288,"Senior Product Manager, Messenger",fin,Dublin (Hybrid),,Posted 12 hours ago,https://www.linkedin.com/jobs/view/4446306288/,20260903,,
4460732205,"Director: AI Systems Reliability, Testing & Performance",novartis ireland,Dublin (Hybrid),,Posted 6 hours ago,https://www.linkedin.com/jobs/view/4460732205/,20260903,,
4461680069,"Senior Vice President, AI Product Manager - Business Line Execution",citi,Dublin (Hybrid),,Posted 4 hours ago,https://www.linkedin.com/jobs/view/4461680069/,20260903,,
4462880477,Digital Innovation Programme Lead,john paul construction,Dublin (On-site),,Posted 3 hours ago,https://www.linkedin.com/jobs/view/4462880477/,20260903,,
4453325634,"Staff Technical Product Marketing Manager, Context Engineering",mongodb,Dublin (Hybrid),,Posted 5 hours ago,https://www.linkedin.com/jobs/view/4453325634/,20260903,,
4461661062,Data & AI Analyst with strong data visualization,nlb services,Dublin (Hybrid),,Posted 8 hours ago,https://www.linkedin.com/jobs/view/4461661062/,20260903,,
4460742350,Product Engineer,ninedots.io,Dublin (Hybrid),80K EUR/yr - 140K EUR/yr,Posted 4 hours ago,https://www.linkedin.com/jobs/view/4460742350/,20260903,,
4461914136,"Manager, Sales Development - EMEA",anthropic,Dublin,,Posted 1 hour ago,https://www.linkedin.com/jobs/view/4461914136/,20260903,,
4460729109,AI Technical Lead,ninedots.io,Dublin (Hybrid),130K EUR/yr - 150K EUR/yr,Posted 6 hours ago,https://www.linkedin.com/jobs/view/4460729109/,20260903,,
4434392044,"Director, Customer Success International",clio,Dublin,,Posted 9 hours ago,https://www.linkedin.com/jobs/view/4434392044/,20260903,,
4460708838,Machine Learning Engineer,workday,Dublin (Hybrid),,Posted 7 hours ago,https://www.linkedin.com/jobs/view/4460708838/,20260903,,
