job_id,title,company,location,salary,posted_date,job_url,scrape_date,recommend,apply_date
107895501,Senior AI Engineer,mastercard,Johnswell,€ Not Disclosed,1 week ago,https://www.irishjobs.ie/job/senior-ai-engineer/mastercard-job107895501,20260903,,
107895500,Senior AI Engineer,mastercard,"Ashbourne, County Meath",€ Not Disclosed,1 week ago,https://www.irishjobs.ie/job/senior-ai-engineer/mastercard-job107895500,20260903,,
107895495,Senior AI Engineer,mastercard,Howth,€ Not Disclosed,1 week ago,https://www.irishjobs.ie/job/senior-ai-engineer/mastercard-job107895495,20260903,,
107895489,Senior AI Engineer,mastercard,Tallaght,€ Not Disclosed,1 week ago,https://www.irishjobs.ie/job/senior-ai-engineer/mastercard-job107895489,20260903,,
107895483,Senior AI Engineer,mastercard,Blackrock,€ Not Disclosed,1 week ago,https://www.irishjobs.ie/job/senior-ai-engineer/mastercard-job107895483,20260903,,
107895482,Senior AI Engineer,mastercard,Swords,€ Not Disclosed,1 week ago,https://www.irishjobs.ie/job/senior-ai-engineer/mastercard-job107895482,20260903,,
107895471,"Director, Data engineering",mastercard,"Celbridge, Kildare",€ Not Disclosed,1 week ago,https://www.irishjobs.ie/job/director-data-engineering/mastercard-job107895471,20260903,,
107895447,Senior AI Engineer,mastercard,Dundrum,€ Not Disclosed,1 week ago,https://www.irishjobs.ie/job/senior-ai-engineer/mastercard-job107895447,20260903,,
107895441,"Director, Data engineering",mastercard,Blanchardstown,€ Not Disclosed,1 week ago,https://www.irishjobs.ie/job/director-data-engineering/mastercard-job107895441,20260903,,
107889143,"Business Data Scientist, gUP",google ireland ltd,"Dublin, County Dublin",€ Not Disclosed,1 week ago,https://www.irishjobs.ie/job/data-scientist/google-ireland-ltd-job107889143,20260903,,
107887972,AI Engineer,fruition group,County Westmeath,€ Not Disclosed,1 week ago,https://www.irishjobs.ie/job/ai-engineer/fruition-group-job107887972,20260903,,
107887968,Senior AI Software Engineer,fruition group,Munster,€ Not Disclosed,1 week ago,https://www.irishjobs.ie/job/senior-ai-software-engineer/fruition-group-job107887968,20260903,,
107887443,Staff Software Engineer,proofpoint,"Cork, County Cork",€ Not Disclosed,1 week ago,https://www.irishjobs.ie/job/staff-software-engineer/proofpoint-job107887443,20260903,,
107887435,Software Engineer,proofpoint,"Cork, County Cork",€ Not Disclosed,1 week ago,https://www.irishjobs.ie/job/software-engineer/proofpoint-job107887435,20260903,,
107886986,"Staff Forward Deployed Engineer, Google Cloud Consulting (Multiple Languages)",google ireland ltd,"Dublin, County Dublin",€ Not Disclosed,1 week ago,https://www.irishjobs.ie/job/forward-deployed-engineer/google-ireland-ltd-job107886986,20260903,,
107883285,Associate Director - Privacy,grant thornton corporate finance ltd,"Dublin, County Dublin",€ Not Disclosed,1 week ago,https://www.irishjobs.ie/job/associate-director/grant-thornton-corporate-finance-ltd-job107883285,20260903,,
